SEO name,Product name,Product code,Image URL,Quantity,Price,Search words,List price,Description,Category,Weight,Status,Language
"iron-man-iphone-5s-5-clone","Iron Man - iPhone SE / 5s","EIC1442","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-BK3IN-1442_bmm0-3l.jpg","1","449.00","Iron man, Ironman, Marvel, Superhero, Hero, Superheroes, Heroes, iPhone 5s, iPhone SE","559.00","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>","AccessoriesMobile cases/covers","0.20","A","en"
"iron-man-iphone-se-5s-clone","Big Eyed Batman - iPhone SE / 5s","EIC3002","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I5S-EIC3IN-3002.jpg","1","449.00","Batman, Bat man, Batsy, Bruce Wayne, BvS, DC, Superhero, Hero, Superheroes, Heroes, iPhone 5s, iPhone SE","559.00","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>","AccessoriesMobile cases/covers","0.20","A","en"
