Product code,Language,Vendor,Product URL,Product name,Image URL,Price,Category,Description
"SKU5601","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/bhabhi-rakhi/american-diamond-studded-latkan-rakhi/","American diamond studded latkan rakhi","https://www.threadcrafts.in/images/thumbnails/280/186/detailed/2/DSC_0192.JPG","265.00","Our Special///Raksha Bandhan///Bhabhi Rakhi","<p>Authentic designer latkan rakhi with American diamond studded on it.</p><p>This season enjoy Raksha Bandhan with your Bhabhi and tie them this modern yet authentic rakhi and make them feel special.</p><p>Free shipping in India.</p>"
"SKU5102","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/bhabhi-rakhi/designer-triangle-tower-latkan-rakhi/","Designer triangle tower latkan rakhi","https://www.threadcrafts.in/images/thumbnails/280/186/detailed/2/DSC_0193.JPG","200.00","Our Special///Raksha Bandhan///Bhabhi Rakhi","<p>Designer triangle tower latkan rakhi with american diamonds studded all over the rakhi.</p><p>A really simple and elegant rakhi for your Bhabhi, make them feel special this season of Raksha Bandhan.</p><p>Free shipping in India.</p><p> </p>"
"SKU5401","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/bhabhi-rakhi/designer-bell-shaped-latkan-rakhi/","Designer bell shaped latkan rakhi","https://www.threadcrafts.in/images/thumbnails/280/208/detailed/2/DSC_0202.JPG","220.00","Our Special///Raksha Bandhan///Bhabhi Rakhi","<p>Designer bell shaped latkan rakhi with american diamonds studded on rakhi.</p><p>Make your dear ones feel special with our authentic range of designer rakhis.</p><p>Free delivery in India.</p>"
"SKU4603","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/bhabhi-rakhi/heart-shaped-designer-rakhi/","Heart shaped designer rakhi","https://www.threadcrafts.in/images/thumbnails/280/420/detailed/2/DSC_0209.JPG","190.00","Our Special///Raksha Bandhan///Bhabhi Rakhi","<p>Heart shaped designer rakhi with american diamonds studded on it.</p><p>Make your dear ones feel special on this auspicious occassion of Raksha Bandhan.</p><p>Free delivery in India.</p>"
"SKU4203","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/bhabhi-rakhi/designer-bracelet-style-bhabhi-rakhi/","Designer bracelet style bhabhi rakhi","https://www.threadcrafts.in/images/thumbnails/280/186/detailed/2/DSC_0216.JPG","150.00","Our Special///Raksha Bandhan///Bhabhi Rakhi","<p>Elegant designer bracelet bhabhi rakhi with american diamonds.</p><p>Make your dear ones feel special on this auspicious occassion of Raksha Bandhan.</p><p>Free Delivery in India.</p>"
"SKU4202","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/bhabhi-rakhi/designer-bracelet-style-bhabhi-rakhi-with-red-diamonds/","Designer bracelet style bhabhi rakhi with red diamonds","https://www.threadcrafts.in/images/thumbnails/280/186/detailed/2/DSC_0218.JPG","150.00","Our Special///Raksha Bandhan///Bhabhi Rakhi","<p>Designer bracelet style bhabhi rakhi with red diamonds.</p><p>Make your dear ones feel special on this auspicious occassion of Raksha Bandhan.</p><p>Free Delivery in India.</p>"
"SKU8145","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/silver-coated-rakhi/silver-coated-om-and-ganpati-rakhi/","Silver coated OM & Ganpati rakhi","https://www.threadcrafts.in/images/thumbnails/280/198/detailed/2/DSC_0224.JPG","235.00","Our Special///Raksha Bandhan///Silver Coated Rakhi","<p>Silver coated OM & Ganpati rakhi.</p><p>Make your dear ones feel special on this auspicious occassion of Raksha Bandhan.<br /><br />Free Delivery in India.</p>"
"SKU8149C","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/silver-coated-rakhi/silver-coated-saakhya-rakhi/","Silver coated SAAKHYA rakhi","https://www.threadcrafts.in/images/thumbnails/280/186/detailed/2/DSC_0230.JPG","265.00","Our Special///Raksha Bandhan///Silver Coated Rakhi","<p>Silver coated SAAKHYA rakhi.</p><p>Make your dear ones feel special on this auspicious occassion of Raksha Bandhan.</p><p>Free Delivery in India.</p>"
"SKU8138","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/silver-coated-rakhi/silver-coated-om-and-peacock-rakhi/","Silver coated OM & Peacock rakhi","https://www.threadcrafts.in/images/thumbnails/280/186/detailed/2/DSC_0233.JPG","220.00","Our Special///Raksha Bandhan///Silver Coated Rakhi","<p>Silver coated OM & Peacock rakhi.</p><p>Make your dear ones feel special on this auspicious occasion of Raksha Bandhan.</p><p>Free Delivery in India.</p>"
"SKU8105","en","Thread Crafts","https://www.threadcrafts.in/our-special/raksha-bandhan/silver-coated-rakhi/silver-coated-om-rakhi/","Silver coated OM rakhi","https://www.threadcrafts.in/images/thumbnails/280/186/detailed/2/DSC_0235.JPG","175.00","Our Special///Raksha Bandhan///Silver Coated Rakhi","<p>Silver coated OM rakhi with American diamonds studded on it.</p><p>Make your dear ones feel special on this auspicious occasion of Raksha Bandhan.</p><p>Free Delivery in India.</p>"
