Product code,Language,Vendor,Product id,Product URL,Product name,Image URL,Quantity,Price,Category,Description
"EIC441","en","East India Cases","28","http://www.threadcrafts.in/accessories/mobile-cases-covers/the-avengers-pro-i6s/","The Avengers - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-441.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC432","en","East India Cases","29","http://www.threadcrafts.in/accessories/mobile-cases-covers/joker-pro-i6s/","Joker - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-432.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC628-I6","en","East India Cases","30","http://www.threadcrafts.in/accessories/mobile-cases-covers/the-bat-is-here-pro-i6s/","The Bat Is Here - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-628.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC459","en","East India Cases","33","http://www.threadcrafts.in/accessories/mobile-cases-covers/jokers-ghost-pro-i6s/","Jokers Ghost - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-459.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC1405","en","East India Cases","34","http://www.threadcrafts.in/accessories/mobile-cases-covers/captain-america-holo-pro-i6s/","Captain America Holo - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-1405.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC978","en","East India Cases","35","http://www.threadcrafts.in/accessories/mobile-cases-covers/baby-polka-dots-pro-i6s/","Baby Polka Dots - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-978.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC968","en","East India Cases","36","http://www.threadcrafts.in/accessories/mobile-cases-covers/zig-zag-multicolor-pro-i6s/","Zig Zag Multicolor - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-968.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC965","en","East India Cases","37","http://www.threadcrafts.in/accessories/mobile-cases-covers/anchor-pro-i6s/","Anchor - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-965.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC761","en","East India Cases","38","http://www.threadcrafts.in/accessories/mobile-cases-covers/space-lion-pro-i6s/","Space Lion - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-761.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC1412","en","East India Cases","39","http://www.threadcrafts.in/accessories/mobile-cases-covers/american-war-cry-pro-i6s/","American War Cry - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-1412.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4511","en","East India Cases","46","http://www.threadcrafts.in/accessories/mobile-cases-covers/cristiano-ronaldo-pro-i6sp/","Cristiano Ronaldo - iPhone 6s Plus / 6 Plus","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6SP-EIC3IN-4511.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5017A","en","East India Cases","41","http://www.threadcrafts.in/accessories/mobile-cases-covers/nebula-pro-i6s/","Nebula - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5017A.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5039","en","East India Cases","42","http://www.threadcrafts.in/accessories/mobile-cases-covers/urban-skyline-pro-i6s/","Urban Skyline - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-5039.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4008","en","East India Cases","43","http://www.threadcrafts.in/accessories/mobile-cases-covers/stark-winter-is-coming-pro-i6s/","Stark - Winter is Coming - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4008.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC3003","en","East India Cases","44","http://www.threadcrafts.in/accessories/mobile-cases-covers/big-eyed-hulk-pro-i6s/","Big Eyed Hulk - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-3003.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
